bin_lo,bin_hi,n_rows,rmse,mae,arm
0.0,0.5,16572,0.4059665549759524,0.28328783638054883,multihot_canonical_id
0.5,0.7,515176,0.44639071402696845,0.2746728955379165,multihot_canonical_id
0.7,0.85,532555,0.49840676014032914,0.28656898839700623,multihot_canonical_id
0.85,1.01,1095699,0.5489085229894215,0.3068392129057378,multihot_canonical_id
0.0,0.5,16572,0.3983787817720808,0.27858552014799126,media_id
0.5,0.7,515176,0.43613404535465855,0.2647292941501095,media_id
0.7,0.85,532555,0.5102344657289777,0.2822745165329481,media_id
0.85,1.01,1095699,0.5586143638851127,0.30450345991920347,media_id
