arm,seed,epoch,grad_norm_mean,param_norm,wallclock_seconds
weighted_full,0,1,0.08083540588372055,20.33455158304423,40.906798362731934
weighted_full,0,2,0.09904560658189457,26.05715490411967,42.14697527885437
weighted_full,0,3,0.09877169581809593,29.845516743138433,41.31955170631409
weighted_full,0,4,0.09924375390198986,32.88403270673007,42.76653027534485
weighted_full,0,5,0.09740643109763795,35.490235968492925,41.8441641330719
weighted_full,0,6,0.0950438225228854,37.845255070365965,42.06993913650513
weighted_full,0,7,0.09315249507939513,39.983622011728585,40.73179888725281
weighted_full,0,8,0.09104330826594256,41.98380141146481,40.91089367866516
weighted_full,1,1,0.07885011865598816,20.44865131750703,41.18305802345276
weighted_full,1,2,0.09603065750246809,26.244719385402277,40.793848752975464
weighted_full,1,3,0.09638710627839582,30.067385622300208,40.42831349372864
weighted_full,1,4,0.09683797007561887,33.115504337940365,41.396400690078735
weighted_full,1,5,0.09540550648781879,35.73039070307277,40.29795956611633
weighted_full,1,6,0.09433121206836977,38.08463274827227,40.59648036956787
weighted_full,1,7,0.09247661967475537,40.227528223302215,40.38585662841797
weighted_full,1,8,0.09084035198271076,42.20490985899232,40.44639039039612
weighted_full,2,1,0.08237817659351208,20.164342794567347,40.10440969467163
weighted_full,2,2,0.10155265166695138,25.807288229465485,40.86417365074158
weighted_full,2,3,0.09867182537917793,29.573135666549206,40.7862753868103
weighted_full,2,4,0.09887954228746554,32.623349552974105,41.13692855834961
weighted_full,2,5,0.0970476691652216,35.26059269160032,41.49937343597412
weighted_full,2,6,0.09547229674809965,37.61828267946839,40.397937297821045
weighted_full,2,7,0.0933924604246633,39.78629386797547,40.04430651664734
weighted_full,2,8,0.09106241390298067,41.808139864355326,40.00184631347656
strict_slice,0,1,0.07081566714792606,17.074976133182645,27.00550866127014
strict_slice,0,2,0.09827900200136655,22.470273873303086,27.09120488166809
strict_slice,0,3,0.100012799675211,25.702157282736152,27.050219297409058
strict_slice,0,4,0.10125276180496577,28.121281875064597,27.1253080368042
strict_slice,0,5,0.10257956367063303,30.145888808416203,26.898009300231934
strict_slice,0,6,0.10004216269031922,31.940953262150288,27.50064492225647
strict_slice,0,7,0.09939387826677233,33.56485261605121,26.875471115112305
strict_slice,0,8,0.0962082387501742,35.077663904288784,27.679693698883057
strict_slice,1,1,0.07190522999843722,17.43542924989015,26.886756658554077
strict_slice,1,2,0.09772942379085418,22.63731972873211,27.17002511024475
strict_slice,1,3,0.09929682041535905,25.790115552954376,27.3021502494812
strict_slice,1,4,0.10061806752758545,28.19775041239336,27.926939010620117
strict_slice,1,5,0.09883061724415826,30.202729800716043,27.329578161239624
strict_slice,1,6,0.09912867696056414,31.9835799112916,27.65743398666382
strict_slice,1,7,0.09678357485458557,33.59491136902943,27.096914052963257
strict_slice,1,8,0.09588981891860691,35.09534246986732,27.534088134765625
strict_slice,2,1,0.07271087011858096,17.04508318565786,27.355635166168213
strict_slice,2,2,0.09740368306578774,22.148281587287784,27.520660638809204
strict_slice,2,3,0.10322346062961606,25.287531320005655,27.909138679504395
strict_slice,2,4,0.10293539830951905,27.683207342401147,27.728583574295044
strict_slice,2,5,0.10068608475385432,29.714670166373253,26.87657928466797
strict_slice,2,6,0.10286961491808644,31.50587084144354,27.315401792526245
strict_slice,2,7,0.09808262506244735,33.13615976832807,27.316829681396484
strict_slice,2,8,0.09714217358066186,34.650688672438264,27.400230646133423
