orgId,condition_key,n_genes,cond_iqr,cond_mad
ANA3,perchlorate 150 mm|lb|28,3668,0.3211178022055137,0.1600123482643365
ANA3,propionate (c)|shewmm_nocarbon|30,7336,0.6728490920829641,0.331389441861456
ANA3,rifampicin 0.001 mg/ml|lb|25,3668,0.5616851770175657,0.2801324679486348
ANA3,sodium fluoride 200 mm|lb|25,3668,0.3432403577099232,0.16639005954294486
ANA3,spectinomycin 0.025 mg/ml|lb|25,3668,0.6743283089231723,0.3374643959297635
ANA3,succinate (c)|shewmm_nocarbon|30,7336,0.4392234710927805,0.21922098677837046
ANA3,syringaldehyde 1 mm|lb|25,3668,0.33839308419352754,0.16694259396165248
ANA3,tetracycline 0.001 mg/ml|lb|28,3668,0.40135301128031253,0.1999207238019795
ANA3,thallium(i) acetate 0.064 mg/ml|lb|25,3668,0.5422689506270995,0.2715240955504423
ANA3,thymidine (c)|shewmm_nocarbon|30,7336,0.536407919485246,0.2691422220816485
ANA3,tween 20 (c)|shewmm_nocarbon|30,3668,0.3508793793078875,0.1727166111002095
ANA3,uridine (c)|shewmm_nocarbon|30,7336,0.42701028370683103,0.212699901940877
ANA3,vanillin 1 mm|lb|25,3668,0.42941975134270827,0.2157316225307842
ANA3,vanillin 2.5 mm|lb|25,3668,0.34599338131060053,0.17289196870283907
BFirm,2-deoxy-d-ribonic lithium salt (c)|rch2_defined_nocarbon|30,5428,0.5909340576502627,0.29512785858897583
BFirm,2-deoxy-d-ribose (c)|rch2_defined_nocarbon|30,21712,0.351887961255762,0.1754082692339505
BFirm,2-deoxyadenosine 5-monophosphate 5 mm (c)|rch2_defined_nocarbon|30,5428,0.5452817771730123,0.2731798379732945
BFirm,a22 0.005 mg/ml|lb|30,5428,0.3066959041213727,0.1534340026551858
BFirm,ammonium chloride (n)|rch2_defined_glucose_nonitrogen|30,5428,0.3940246189876622,0.1959375292881115
BFirm,bacitracin 0.125 mg/ml|lb|30,5428,0.2824412930665975,0.140438777136218
BFirm,bacitracin 0.25 mg/ml|lb|30,5428,0.33767852001125453,0.1680392289014748
BFirm,benzethonium chloride 0.0016 mm|lb|30,5428,0.287009990229055,0.142895478391857
BFirm,carnitine hydrochloride (n)|rch2_defined_glucose_nonitrogen|30,5428,0.3677186978752488,0.18351153413016136
BFirm,casaminos|rch2_defined_glucose|30,10856,0.3018008791980472,0.15007682818646045
BFirm,cephalothin 2 mg/ml|lb|30,5428,0.31442593955228326,0.1577105411662646
BFirm,chloride 200 mm|lb|30,5428,0.33305942109123476,0.16701972048637237
BFirm,cobalt chloride 0.25 mm|lb|30,5428,0.301880265147637,0.150959328579246
BFirm,"d,l-lactate (c)|rch2_defined_nocarbon|30",5428,0.26292139576323326,0.1308935795986755
BFirm,d-alanine (c)|rch2_defined_nocarbon|30,5428,0.2898242320716905,0.1421549965800625
