stratum,n_genes,n_cells,gene_conf_median,model_spearman,model_ndcg5,model_prec5,knn_spearman,knn_ndcg5,knn_prec5,null_spearman,null_ndcg5,null_prec5,ceiling_ndcg5,ceiling_n_genes,seed
Q1,9839.0,177929.0,0.5171306493725587,0.06335032712435078,0.3590510289107125,0.3602793599132086,0.17114804808810372,0.4143667097101679,0.39631814483319766,0.003187851722923706,0.2943860209010872,0.3205248169243287,0.585827726138039,8809.0,1.0
Q2,9839.0,187840.0,0.7041282254944333,0.0911247170616396,0.3745370218029824,0.36216032377648544,0.20201773552193422,0.43081055858142797,0.39838791960004083,0.000859943034085985,0.29897749257963274,0.3108866442199776,0.5623683434173139,9148.0,1.0
Q3,9839.0,182647.0,0.9255247194682855,0.14902329958714297,0.42304462363537204,0.4061469111771335,0.24256627429774028,0.47306115692745115,0.43532424956459387,0.01487244758813045,0.321250563952572,0.33910459993853087,0.6261471889804101,9180.0,1.0
Q4,9839.0,159520.0,2.05968218496641,0.300139628634629,0.5931983279496185,0.4902119883040936,0.3450197582240417,0.6330298635778026,0.5121271929824561,0.07495151253690775,0.46749173818134143,0.4133991228070175,0.8347384583276245,8630.0,1.0
