protocol,quantile,value
largest_by_rows,p1,-2.5668323376636137
largest_by_rows,p5,-0.8018660193973824
largest_by_rows,p25,-0.12473294989481382
largest_by_rows,p50,0.07496943235522517
largest_by_rows,p75,0.24352212291812644
largest_by_rows,p95,0.5984316280520957
largest_by_rows,p99,1.0389773633590222
high_overlap_easy,p1,-2.6060815269260003
high_overlap_easy,p5,-0.608123453137399
high_overlap_easy,p25,-0.06217559375285156
high_overlap_easy,p50,0.0882363114687684
high_overlap_easy,p75,0.22090644752676464
high_overlap_easy,p95,0.5359832257310312
high_overlap_easy,p99,1.0175667457582516
low_overlap_stress,p1,-3.504490878720151
low_overlap_stress,p5,-2.0757213633414366
low_overlap_stress,p25,-0.30045881180565825
low_overlap_stress,p50,0.03423490412812437
low_overlap_stress,p75,0.23247206435847312
low_overlap_stress,p95,0.7170150477994514
low_overlap_stress,p99,1.7927604537614497
multi_org_balanced,p1,-2.76205522912571
multi_org_balanced,p5,-0.6924069658550904
multi_org_balanced,p25,-0.08058663813059452
multi_org_balanced,p50,0.09164940611360911
multi_org_balanced,p75,0.23925754896903506
multi_org_balanced,p95,0.5712482697316751
multi_org_balanced,p99,1.0461564603417768
