protocol,mean,ci_low,ci_high,n_genes_used,n_bootstrap,spearman_role
largest_by_rows,0.009787603502708632,0.0067655080616188645,0.012824255424360193,3041,1000,primary
high_overlap_easy,-0.0014219954400926029,-0.0030992765407452517,0.0003176482209937979,6095,1000,primary
low_overlap_stress,-0.011911020004623024,-0.019249461046480225,-0.004576080384219666,1424,1000,primary
multi_org_balanced,0.0055725954531994195,0.0018964015329457561,0.009156322452140037,13804,1000,primary
