protocol,additive_rmse,global_mean_rmse,embedding_nn_rmse,gap_global_minus_additive
largest_by_rows,0.5675101606156486,0.5668274976346473,0.6059831477646005,-0.0006826629810012808
high_overlap_easy,0.5873056597363393,0.5865700160852934,0.6250828588750862,-0.0007356436510459474
multi_org_balanced,0.6320017301809576,0.630685168009717,0.5883749173708371,-0.0013165621712406539
low_overlap_stress,0.9388191123024736,0.9370312362177168,0.9793434555022886,-0.0017878760847568342
