protocol,actual_mean_spearman,null_p95,null_p99,null_mean,null_std,n_genes_used,n_permutations
largest_by_rows,0.009787603502708632,0.0013251482323877238,0.001503847670698197,6.352567769641094e-05,0.0007628918492744148,3041,200
high_overlap_easy,-0.0014219954400926029,0.00116879715885125,0.0015799776955435242,1.9372558591623684e-05,0.0006529161787975457,6095,200
low_overlap_stress,-0.011911020004623024,0.0040398416536225395,0.0056583357777984355,0.00013945322707081264,0.0025633884068062976,1424,200
multi_org_balanced,0.0055725954531994195,0.0015043200221064484,0.0021675616885926045,0.0001899024054676665,0.0009373005888304528,13804,200
