alpha,knn+model_spearman,knn+model_ndcg5,knn+model_ndcg1,knn+mf_spearman,knn+mf_ndcg5
0.0,0.1558888533260282,0.43178973731749093,0.31612311148589883,0.1426209230776969,0.42898680520159715
0.2,0.18632773642971073,0.452555375340066,0.341712405606695,0.1735978364881379,0.44834903956543576
0.4,0.21719770464027235,0.4734796072668793,0.36582390970331313,0.20951791803379316,0.47177974005738516
0.5,0.23163561005737585,0.4831555003930677,0.37896540942852525,0.22627693629851892,0.48210152241777693
0.6,0.24219880363623406,0.489461087252508,0.3888212868723281,0.23810799311828254,0.4884116955967543
0.7,0.24753390707912132,0.4927988806275721,0.3910956930191944,0.24406287432495308,0.49254276462702384
0.8,0.2482503628039695,0.4932470511664918,0.3886710274972606,0.24590199566356066,0.49277266232719574
0.9,0.2451655932066677,0.49202368621922155,0.3858389609575997,0.24418836507759517,0.49174622847143107
1.0,0.24018762867336516,0.48520815631381636,0.37494284916806236,0.24018762867336516,0.48520815631381636
