orgId,extract,mix,physical
DvH,0.19859664773799515,0.23993769993166206,0.5614656523303428
Btheta,0.24374463212138564,0.0,0.7562553678786144
Putida,0.13605633802816902,0.05416666666666667,0.8097769953051643
pseudo3_N2E3,0.386565011333196,0.4882234668964527,0.12521152177035139
psRCH2,0.4917110624600748,0.38627904299927124,0.12200989454065396
pseudo6_N2E2,0.29956830095590503,0.5603301166148067,0.14010158242928827
Koxy,0.2716508078571765,0.578125,0.1502241921428235
pseudo5_N2C3_1,0.3799621928166352,0.4933687902038286,0.12666901697953628
Marino,0.5004643962848297,0.33196150254973783,0.16757410116543245
WCS417,0.34541316686622003,0.5133706467661692,0.1412161863676108
Phaeo,0.4013157894736842,0.4439881286596615,0.1546960818666543
Cola,0.43310317873892656,0.41287128712871285,0.15402553413236061
Pedo557,0.4962998328956792,0.3580508474576271,0.14564931964669373
Cup4G11,0.34399973810596696,0.49288879359634075,0.1631114682976923
MR1,0.557229907773386,0.32602818374250525,0.1167419084841087
Caulo,0.5233494363929146,0.0,0.47665056360708535
pseudo1_N1B4,0.396332446021887,0.47718253968253965,0.12648501429557332
Keio,0.3699102829537612,0.029017857142857144,0.6010718599033816
BFirm,0.30934974990380915,0.549403471031982,0.14124677906420885
SB2B,0.44973302822273076,0.4139694155174031,0.13629755625986612
Dino,0.4617289190718733,0.37619047619047613,0.16208060473765057
acidovorax_3H11,0.5877511445484501,0.31919642857142855,0.0930524268801213
Korea,0.6893004115226338,0.229412177328844,0.08128741114852225
PV4,0.8071557971014492,0.13097426470588236,0.06186993819266838
Smeli,0.4099838969404187,0.46780303030303033,0.12221307275655101
Methanococcus_S2,0.13318045429116984,0.5129049738671871,0.353914571841643
pseudo13_GW456_L13,0.26565490839485917,0.5902122641509434,0.14413282745419742
Miya,0.31686852473369326,0.22281693576306927,0.4603145395032375
azobra,0.2881032011466794,0.5619588744588744,0.14993792439444614
ANA3,0.3992956792631721,0.45778410132107217,0.14292021941575567
Ponti,0.8026315789473685,0.0,0.1973684210526316
HerbieS,0.2978647853303395,0.5451311690272288,0.15700404564243167
Dyella79,0.5426257459505541,0.3584558823529412,0.09891837169650469
SynE,0.0,0.32109343125254997,0.67890656874745
Kang,0.8026315789473685,0.0,0.19736842105263158
PS,0.3480843400412086,0.5188684609062857,0.13304719905250567
Methanococcus_JJ,0.18609349307023723,0.45287432806812655,0.36103217886163624
Burk376,0.0,0.8125,0.1875
Magneto,0.7915662952925826,0.09341993949040021,0.11501376521701726
SyringaeB728a,0.8148148148148149,0.0,0.18518518518518517
SyringaeB728a_mexBdelta,0.8148148148148149,0.0,0.18518518518518517
Dda3937,0.3641304347826087,0.0,0.6358695652173912
DdiaME23,0.3377441713925646,0.0,0.6622558286074354
Ddia6719,0.3884057971014493,0.0,0.6115942028985507
RalstoniaUW163,0.4782608695652174,0.0,0.5217391304347826
RalstoniaPSI07,0.3826086956521739,0.0,0.6173913043478261
RalstoniaGMI1000,0.3826086956521739,0.0,0.6173913043478261
RalstoniaBSBF1503,0.5739130434782609,0.0,0.4260869565217391
