protocol,max_cosine
largest_by_rows,0.480411559343338
largest_by_rows,0.5653736591339111
largest_by_rows,0.38532325625419617
largest_by_rows,0.625769853591919
largest_by_rows,0.38650181889533997
largest_by_rows,0.5690335631370544
largest_by_rows,0.8534005284309387
largest_by_rows,0.40094178915023804
largest_by_rows,0.36663806438446045
largest_by_rows,0.5861222147941589
largest_by_rows,0.6219488978385925
largest_by_rows,0.4495422840118408
largest_by_rows,0.5657540559768677
largest_by_rows,0.4618055820465088
largest_by_rows,0.40119197964668274
largest_by_rows,0.4203699231147766
largest_by_rows,0.5675625205039978
largest_by_rows,0.5727773308753967
largest_by_rows,0.6218650937080383
largest_by_rows,0.6963865160942078
largest_by_rows,0.8065505027770996
largest_by_rows,0.40799155831336975
largest_by_rows,0.568880021572113
largest_by_rows,0.5239282250404358
largest_by_rows,0.44742754101753235
largest_by_rows,0.5156476497650146
largest_by_rows,0.5811808705329895
largest_by_rows,0.30608493089675903
largest_by_rows,0.6568360924720764
largest_by_rows,0.6582689881324768
largest_by_rows,0.37493211030960083
largest_by_rows,0.43193769454956055
largest_by_rows,0.5320894122123718
largest_by_rows,0.6657980680465698
largest_by_rows,0.8380492329597473
largest_by_rows,0.38740161061286926
largest_by_rows,0.4068564474582672
largest_by_rows,0.7516757249832153
largest_by_rows,0.34789618849754333
largest_by_rows,0.6055073738098145
largest_by_rows,0.35039204359054565
largest_by_rows,0.4651472866535187
largest_by_rows,0.5108771324157715
largest_by_rows,0.4089523255825043
largest_by_rows,0.4872739613056183
largest_by_rows,0.4147307872772217
largest_by_rows,0.31216496229171753
largest_by_rows,0.48338428139686584
largest_by_rows,0.41021814942359924
largest_by_rows,0.4700871706008911
largest_by_rows,0.42656856775283813
largest_by_rows,0.48966464400291443
largest_by_rows,0.41864848136901855
largest_by_rows,0.42246755957603455
largest_by_rows,0.40463128685951233
largest_by_rows,0.49180132150650024
largest_by_rows,0.36136746406555176
largest_by_rows,0.44012266397476196
largest_by_rows,0.4057163894176483
largest_by_rows,0.4428977966308594
largest_by_rows,0.5119062662124634
largest_by_rows,0.822719156742096
largest_by_rows,0.48698994517326355
largest_by_rows,0.5397058129310608
largest_by_rows,0.4723740518093109
largest_by_rows,0.4689038097858429
largest_by_rows,0.41738876700401306
largest_by_rows,0.7374420166015625
largest_by_rows,0.5443010330200195
largest_by_rows,0.4791658818721771
largest_by_rows,0.7387599945068359
largest_by_rows,0.36076340079307556
largest_by_rows,0.38940945267677307
largest_by_rows,0.36339378356933594
largest_by_rows,0.3910905122756958
largest_by_rows,0.5823958516120911
largest_by_rows,0.5934520959854126
largest_by_rows,0.5799914598464966
largest_by_rows,0.39014410972595215
largest_by_rows,0.5792003273963928
largest_by_rows,0.7576276659965515
largest_by_rows,0.5535187125205994
largest_by_rows,0.44974449276924133
largest_by_rows,0.3851673901081085
largest_by_rows,0.6886342763900757
largest_by_rows,0.6442103981971741
largest_by_rows,0.6513953804969788
largest_by_rows,0.4915012717247009
largest_by_rows,0.65625
largest_by_rows,0.6495111584663391
largest_by_rows,0.7074917554855347
largest_by_rows,0.37810710072517395
largest_by_rows,0.6976093053817749
largest_by_rows,0.6969989538192749
largest_by_rows,0.45790421962738037
largest_by_rows,0.508532702922821
largest_by_rows,0.42447155714035034
largest_by_rows,0.44741585850715637
largest_by_rows,0.8045427203178406
largest_by_rows,0.6144276857376099
largest_by_rows,0.5704426169395447
largest_by_rows,0.707464337348938
largest_by_rows,0.6926490664482117
largest_by_rows,0.6630063056945801
largest_by_rows,0.559468150138855
largest_by_rows,0.3810223937034607
largest_by_rows,0.5756841897964478
largest_by_rows,0.44378748536109924
largest_by_rows,0.4519822299480438
largest_by_rows,0.387493371963501
largest_by_rows,0.38719290494918823
largest_by_rows,0.4385361969470978
largest_by_rows,0.4410420060157776
largest_by_rows,0.5505439043045044
largest_by_rows,0.3927210569381714
largest_by_rows,0.414667546749115
largest_by_rows,0.3693123459815979
largest_by_rows,0.42108118534088135
largest_by_rows,0.46782273054122925
largest_by_rows,0.3796815872192383
largest_by_rows,0.4585762023925781
largest_by_rows,0.6051427721977234
largest_by_rows,0.4138956367969513
largest_by_rows,0.42104578018188477
largest_by_rows,0.4321826100349426
largest_by_rows,0.6001369953155518
largest_by_rows,0.5440782308578491
largest_by_rows,0.5588908791542053
largest_by_rows,0.48148080706596375
largest_by_rows,0.61781245470047
largest_by_rows,0.5285640954971313
largest_by_rows,0.546364426612854
largest_by_rows,0.543851912021637
largest_by_rows,0.3748340606689453
largest_by_rows,0.6604291796684265
largest_by_rows,0.44148579239845276
largest_by_rows,0.5379424691200256
largest_by_rows,0.4859963655471802
largest_by_rows,0.5349520444869995
largest_by_rows,0.6793781518936157
largest_by_rows,0.6536171436309814
largest_by_rows,0.5088791847229004
largest_by_rows,0.5611627101898193
largest_by_rows,0.3769192397594452
largest_by_rows,0.5461079478263855
largest_by_rows,0.5888369083404541
largest_by_rows,0.47071173787117004
largest_by_rows,0.48304668068885803
largest_by_rows,0.5123175382614136
largest_by_rows,0.5419603586196899
largest_by_rows,0.3004472851753235
largest_by_rows,0.5453836917877197
largest_by_rows,0.5191933512687683
largest_by_rows,0.4347526431083679
largest_by_rows,0.4496558606624603
largest_by_rows,0.4151275157928467
largest_by_rows,0.45414620637893677
largest_by_rows,0.4766371250152588
largest_by_rows,0.42868471145629883
largest_by_rows,0.4064520001411438
largest_by_rows,0.4701744019985199
largest_by_rows,0.6118267774581909
largest_by_rows,0.34430089592933655
largest_by_rows,0.5514999628067017
largest_by_rows,0.3783767819404602
largest_by_rows,0.3683887720108032
largest_by_rows,0.3736587166786194
largest_by_rows,0.4736812114715576
largest_by_rows,0.4083811044692993
largest_by_rows,0.43765583634376526
largest_by_rows,0.44467148184776306
largest_by_rows,0.4738408327102661
largest_by_rows,0.642474353313446
largest_by_rows,0.5982083082199097
largest_by_rows,0.3966897130012512
largest_by_rows,0.3705598711967468
largest_by_rows,0.4808356761932373
largest_by_rows,0.49935460090637207
largest_by_rows,0.6811438202857971
largest_by_rows,0.5837003588676453
largest_by_rows,0.4038737416267395
largest_by_rows,0.5816506147384644
largest_by_rows,0.5330531001091003
largest_by_rows,0.4461742043495178
largest_by_rows,0.42713481187820435
largest_by_rows,0.5572997331619263
largest_by_rows,0.45836392045021057
largest_by_rows,0.5662832856178284
largest_by_rows,0.49985259771347046
largest_by_rows,0.7113155126571655
largest_by_rows,0.5694096088409424
largest_by_rows,0.5463340878486633
largest_by_rows,0.4221442937850952
largest_by_rows,0.48326924443244934
largest_by_rows,0.4460051953792572
largest_by_rows,0.5766221880912781
largest_by_rows,0.5981766581535339
largest_by_rows,0.464708149433136
largest_by_rows,0.41619035601615906
largest_by_rows,0.6515242457389832
largest_by_rows,0.5438817143440247
largest_by_rows,0.5876136422157288
largest_by_rows,0.527732789516449
largest_by_rows,0.42923662066459656
largest_by_rows,0.47141286730766296
largest_by_rows,0.6710215210914612
