orgId,name,Media,expGroup,condition_1,concentration_1,units_1,condition_2,concentration_2,units_2,condition_3,concentration_3,units_3,condition_4,concentration_4,units_4,temperature,pH,aerobic,shaking,growthMethod
Btheta,set3IT008,Varel_Bryant_medium,carbon source,Chondroitin sulfate A sodium salt from bovine trachea,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT009,Varel_Bryant_medium,carbon source,"dextran, Mw ~200,000",5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT012,Varel_Bryant_medium,carbon source,Mannan from Saccharomyces cerevisiae,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT014,Varel_Bryant_medium,carbon source,Hyaluronic acid sodium salt from Streptococcus equi,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT015,Varel_Bryant_medium,carbon source,Levan - from Erwinia herbicola,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT017,Varel_Bryant_medium,carbon source,polygalacturonic acid,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT018,Varel_Bryant_medium,carbon source,Pectin,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT019,Varel_Bryant_medium,carbon source,Red Arabinan from sugar-beet,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT023,Varel_Bryant_medium,carbon source,(+)-Arabinogalactan,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT024,Varel_Bryant_medium,carbon source,Chondroitin sulfate A sodium salt from bovine trachea,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT025,Varel_Bryant_medium,carbon source,"dextran, Mw ~200,000",5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT028,Varel_Bryant_medium,carbon source,Mannan from Saccharomyces cerevisiae,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT030,Varel_Bryant_medium,carbon source,Hyaluronic acid sodium salt from Streptococcus equi,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT031,Varel_Bryant_medium,carbon source,Levan - from Erwinia herbicola,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT034,Varel_Bryant_medium,carbon source,Pectin,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT035,Varel_Bryant_medium,carbon source,Red Arabinan from sugar-beet,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT039,Varel_Bryant_medium,carbon source,amylopectin from maize,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT040,Varel_Bryant_medium,carbon source,Hyaluronic acid sodium salt from Streptococcus equi,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT043,Varel_Bryant_medium,carbon source,polygalacturonic acid,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT044,Varel_Bryant_medium,carbon source,Pectin,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT045,Varel_Bryant_medium,carbon source,Red Arabinan from sugar-beet,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT047,Varel_Bryant_medium,carbon source,Amylose from potato,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT049,Varel_Bryant_medium,carbon source,amylopectin from maize,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT050,Varel_Bryant_medium,carbon source,Hyaluronic acid sodium salt from Streptococcus equi,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT051,Varel_Bryant_medium,carbon source,Levan - from Erwinia herbicola,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT056,Varel_Bryant_medium,carbon source,Starch,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT057,Varel_Bryant_medium,carbon source,Amylose from potato,5,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT064,BHIS,stress,Paraquat dichloride,0.1,mg/ml,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set3IT070,BHIS,stress,Sodium perchlorate monohydrate,100,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
